epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.818,1.2167,0.99835,1.1289,0.68571,0.38572,0.49293,0.2847,1.186,0.96001,1.15933,0.0670441,0.000332888,0.000332888
2,223.317,1.19284,0.90746,1.12064,0.60303,0.53686,0.58047,0.33147,1.12168,0.81224,1.11726,0.0340441,0.000666215,0.000666215
3,331.798,1.1399,0.84864,1.09412,0.7169,0.52181,0.60619,0.36453,1.13285,0.81172,1.14375,0.00104402,0.000999516,0.000999516
4,440.024,1.09932,0.79478,1.07445,0.67352,0.59075,0.65458,0.41004,1.00855,0.72267,1.06432,0.000999912,0.000999912,0.000999912
5,548.445,1.0493,0.73908,1.05366,0.75747,0.64055,0.71664,0.45907,0.96139,0.64494,1.04548,0.000999844,0.000999844,0.000999844
6,656.603,1.01434,0.69033,1.03692,0.80537,0.67444,0.75823,0.49804,0.93084,0.60257,1.02925,0.000999756,0.000999756,0.000999756
7,764.919,0.98629,0.66172,1.02134,0.77516,0.72455,0.79063,0.53201,0.8936,0.56494,1.00957,0.000999648,0.000999648,0.000999648
8,872.572,0.96331,0.64104,1.01541,0.85163,0.66585,0.79744,0.5342,0.88947,0.56865,1.01045,0.000999521,0.000999521,0.000999521
9,979.901,0.94467,0.61851,1.00866,0.79909,0.74274,0.80906,0.55456,0.87229,0.54303,1.00353,0.000999375,0.000999375,0.000999375
10,1087.23,0.92648,0.59923,1.00046,0.80714,0.75107,0.82827,0.57143,0.84263,0.52271,0.99257,0.000999209,0.000999209,0.000999209
11,1194.65,0.91033,0.58562,0.99217,0.86988,0.72095,0.83644,0.58027,0.8243,0.51332,0.98163,0.000999023,0.000999023,0.000999023
12,1302.2,0.89332,0.5711,0.98335,0.83628,0.7714,0.85723,0.60432,0.81312,0.49502,0.97467,0.000998818,0.000998818,0.000998818
13,1409.57,0.87822,0.55932,0.9773,0.85287,0.79231,0.86744,0.61942,0.79595,0.48189,0.96779,0.000998594,0.000998594,0.000998594
14,1516.91,0.87608,0.55537,0.97832,0.84584,0.81845,0.87632,0.62761,0.78264,0.47076,0.96215,0.00099835,0.00099835,0.00099835
15,1624.6,0.86045,0.54025,0.97235,0.84912,0.81373,0.87655,0.6286,0.77167,0.47061,0.9555,0.000998086,0.000998086,0.000998086
16,1731.92,0.84461,0.52891,0.96348,0.86176,0.8218,0.89175,0.64654,0.76272,0.45391,0.95595,0.000997803,0.000997803,0.000997803
17,1839.41,0.83983,0.52094,0.96222,0.89885,0.81773,0.90022,0.65642,0.74956,0.44873,0.95092,0.000997501,0.000997501,0.000997501
18,1946.34,0.82844,0.51054,0.95678,0.87211,0.83822,0.89774,0.66275,0.73235,0.43891,0.94046,0.000997179,0.000997179,0.000997179
19,2053.52,0.82432,0.50936,0.95337,0.87435,0.79595,0.89231,0.65939,0.73295,0.43763,0.94131,0.000996838,0.000996838,0.000996838
20,2160.85,0.81505,0.50173,0.95106,0.882,0.84552,0.90489,0.6712,0.72131,0.43326,0.93999,0.000996477,0.000996477,0.000996477
21,2268.48,0.80189,0.49365,0.94539,0.89073,0.82571,0.90631,0.67786,0.70969,0.41891,0.93407,0.000996097,0.000996097,0.000996097
22,2376.87,0.79519,0.48266,0.94614,0.8908,0.86,0.91291,0.68552,0.70139,0.4111,0.92874,0.000995697,0.000995697,0.000995697
23,2484.9,0.78586,0.48019,0.93929,0.89086,0.85676,0.91574,0.69085,0.69967,0.41271,0.93,0.000995278,0.000995278,0.000995278
